Date,Open
2020-01-31,321.75
2020-02-03,318.75
2020-02-04,318.279999
2020-02-05,320.5
2020-02-06,330.910004
2020-02-07,340.369995
2020-02-10,337.220001
2020-02-11,347.640015
2020-02-12,346.420013
2020-02-13,344.320007
2020-02-14,342.299988
2020-02-18,338.769989
2020-02-19,338.119995
2020-02-20,338.290009
2020-02-21,334.049988
2020-02-24,320
2020-02-25,318.26001
2020-02-26,307
2020-02-27,300.369995
2020-02-28,278.070007
2020-03-02,279.540009
2020-03-03,292
2020-03-04,284.549988
2020-03-05,275.790009
2020-03-06,253.699997
2020-03-09,238
2020-03-10,237
2020-03-11,222.990005
2020-03-12,160.529999
2020-03-13,174.970001
2020-03-16,149.419998
2020-03-17,132.509995
2020-03-18,99.860001
2020-03-19,98.800003
2020-03-20,99.849998
2020-03-23,98.75
2020-03-24,123.68
2020-03-25,154.899994
2020-03-26,172.289993
2020-03-27,172
2020-03-30,153.809998
2020-03-31,155
2020-04-01,138.910004
2020-04-02,128.509995
2020-04-03,125
2020-04-06,133.699997
2020-04-07,162
2020-04-08,147.509995
2020-04-09,154.710007
2020-04-13,155.5
2020-04-14,150.509995
2020-04-15,139
2020-04-16,141.460007
2020-04-17,149.410004
2020-04-20,147.210007
2020-04-21,139.009995
2020-04-22,140.419998
2020-04-23,136.5
2020-04-24,137
2020-04-27,129.970001
2020-04-28,133.880005
2020-04-29,138.080002
2020-04-30,137.669998
2020-05-01,143.229996
2020-05-04,127.120003
2020-05-05,132.880005
2020-05-06,125.800003
2020-05-07,122.809998
2020-05-08,132.570007
2020-05-11,130.919998
2020-05-12,129.720001
2020-05-13,125
2020-05-14,118.980003
2020-05-15,118.330002
2020-05-18,126.18
2020-05-19,137
2020-05-20,133.270004
2020-05-21,137
2020-05-22,141.009995
2020-05-26,145.210007
2020-05-27,149.139999
2020-05-28,156.100006
2020-05-29,145.300003
2020-06-01,145.449997
2020-06-02,154
2020-06-03,157.100006
2020-06-04,181.279999
2020-06-05,205
2020-06-08,222.940002
2020-06-09,222.139999
2020-06-10,211.169998
2020-06-11,179.350006
2020-06-12,187.149994
2020-06-15,177.179993
2020-06-16,207.149994
2020-06-17,194.520004
2020-06-18,188.240005
2020-06-19,197.899994
2020-06-22,184.559998
2020-06-23,189.300003
2020-06-24,183.610001
2020-06-25,169.869995
2020-06-26,173.419998
2020-06-29,181
2020-06-30,188.020004
2020-07-01,185.880005
2020-07-02,185.580002
2020-07-06,184.520004
2020-07-07,185.070007
2020-07-08,179.050003
2020-07-09,179.669998
2020-07-10,171.699997
2020-07-13,180.199997
2020-07-14,177
2020-07-15,185.539993
2020-07-16,184.320007
2020-07-17,178.410004
2020-07-20,175.130005
2020-07-21,178.429993
2020-07-22,176.429993
2020-07-23,178
2020-07-24,175.679993
2020-07-27,173.190002
2020-07-28,168.5
2020-07-29,172.899994
2020-07-30,162.880005
2020-07-31,161.550003
2020-08-03,156.509995
2020-08-04,164.630005
2020-08-05,167.600006
2020-08-06,172.800003
2020-08-07,171.5
2020-08-10,171.360001
2020-08-11,184.509995
2020-08-12,184.009995
2020-08-13,173.619995
2020-08-14,173.089996
2020-08-17,178.240005
2020-08-18,172.009995
2020-08-19,170.440002
2020-08-20,168.539993
2020-08-21,168.350006
2020-08-24,168.779999
2020-08-25,180.460007
2020-08-26,173.800003
2020-08-27,174.710007
2020-08-28,175.110001
2020-08-31,174.649994
2020-09-01,170.710007
2020-09-02,172.740005
2020-09-03,175
2020-09-04,171.309998
2020-09-08,165.800003
2020-09-09,161.610001
2020-09-10,160.960007
2020-09-11,158
2020-09-14,161.75
2020-09-15,166.649994
2020-09-16,161.949997
2020-09-17,164.630005
2020-09-18,165.660004
2020-09-21,157.830002
2020-09-22,156.809998
2020-09-23,157.330002
2020-09-24,150.289993
2020-09-25,146.850006
2020-09-28,160.330002
2020-09-29,164.770004
2020-09-30,164.5
2020-10-01,170.149994
2020-10-02,161.860001
2020-10-05,169.490005
2020-10-06,173.039993
2020-10-07,163.710007
2020-10-08,166.220001
2020-10-09,169.929993
2020-10-12,167.75
2020-10-13,165.360001
2020-10-14,162.699997
2020-10-15,161.009995
2020-10-16,171.220001
2020-10-19,169.089996
2020-10-20,168.289993
2020-10-21,166.440002
2020-10-22,164.699997
2020-10-23,169.990005
2020-10-26,164.949997
2020-10-27,159.160004
2020-10-28,153
2020-10-29,148.029999
2020-10-30,147.199997
2020-11-02,145.75
2020-11-03,151.830002
2020-11-04,153.169998
2020-11-05,152.479996
2020-11-06,156.330002
2020-11-09,179
2020-11-10,182.800003
2020-11-11,189.889999
2020-11-12,178.949997
2020-11-13,179
2020-11-16,194.559998
2020-11-17,200.25
2020-11-18,223.020004
2020-11-19,200.449997
2020-11-20,204.589996
2020-11-23,203.240005
2020-11-24,219.429993
2020-11-25,217.710007
2020-11-27,218.25
2020-11-30,215.699997
2020-12-01,214.309998
2020-12-02,213.009995
2020-12-03,228.300003
2020-12-04,236.360001
2020-12-07,238.5
2020-12-08,238.699997
2020-12-09,238.639999
2020-12-10,228.100006
2020-12-11,232.820007
2020-12-14,235
2020-12-15,230
2020-12-16,229.330002
2020-12-17,227.240005
2020-12-18,222.050003
2020-12-21,212.339996
2020-12-22,223.279999
2020-12-23,219.550003
2020-12-24,219.619995
2020-12-28,218.190002
2020-12-29,218.300003
2020-12-30,216.360001
2020-12-31,216.240005
2021-01-04,210
2021-01-05,204.740005
2021-01-06,210.220001
2021-01-07,213.389999
2021-01-08,213.610001
2021-01-11,203.029999
2021-01-12,206.649994
2021-01-13,207.149994
2021-01-14,208.789993
2021-01-15,208.960007
2021-01-19,206.990005
2021-01-20,213.240005
2021-01-21,211.720001
2021-01-22,205.550003
2021-01-25,203.270004
2021-01-26,205.339996
2021-01-27,196.899994
2021-01-28,198.050003
2021-01-29,198.300003
